Ord	Lien	CodeDeRep	Encodage	NbMots
0	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	5681
1	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	1161
2	fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	1765
3	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	2583
4	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	1167
5	https://roboty.magistry.fr	notExiste	notExiste	0
6	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	440
7	https://fr.wiktionary.org/wiki/robot	200	UTF-8	4813
8	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	1139
9	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	13025
