token	corpus size	all contexts size	frequency	co-frequency	specificity
des	3097	1108	57	34	3.93
premier	3097	1108	11	9	2.67
le	3097	1108	84	40	2.16
dans	3097	1108	50	26	2.15
en	3097	1108	62	30	1.91
les	3097	1108	66	30	1.58
rossum'	3097	1108	3	3	1.34
universal	3097	1108	3	3	1.34
apparaissent	3097	1108	3	3	1.34
détaillé	3097	1108	3	3	1.34
1986	3097	1108	3	3	1.34
sont	3097	1108	16	9	1.31
du	3097	1108	26	13	1.29
créé	3097	1108	5	4	1.28
s'	3097	1108	5	4	1.28
isaac	3097	1108	5	4	1.28
asimov	3097	1108	5	4	1.28
de	3097	1108	153	57	1.20
fut	3097	1108	12	7	1.19
est	3097	1108	34	15	1.08
terme	3097	1108	8	5	1.06
que	3097	1108	21	10	1.03
par	3097	1108	27	12	1.00
karel	3097	1108	6	4	0.99
humains	3097	1108	6	4	0.99
la	3097	1108	63	23	0.98
mot	3097	1108	11	6	0.98
l'	3097	1108	52	18	0.94
mécaniques	3097	1108	4	3	0.93
écrite	3097	1108	2	2	0.89
tchèque	3097	1108	2	2	0.89
réalisation	3097	1108	2	2	0.89
usage	3097	1108	2	2	0.89
prendre	3097	1108	2	2	0.89
sens	3097	1108	2	2	0.89
apparu	3097	1108	2	2	0.89
œuvres	3097	1108	2	2	0.89
roues	3097	1108	2	2	0.89
capable	3097	1108	2	2	0.89
union	3097	1108	2	2	0.89
agit	3097	1108	2	2	0.89
construire	3097	1108	2	2	0.89
leurs	3097	1108	2	2	0.89
tel	3097	1108	2	2	0.89
man	3097	1108	2	2	0.89
autour	3097	1108	2	2	0.89
place	3097	1108	2	2	0.89
1964	3097	1108	2	2	0.89
1988	3097	1108	2	2	0.89
empire	3097	1108	2	2	0.89
présents	3097	1108	2	2	0.89
ménager	3097	1108	2	2	0.89
destination	3097	1108	2	2	0.89
1971	3097	1108	2	2	0.89
au	3097	1108	15	7	0.85
pas	3097	1108	7	4	0.82
qui	3097	1108	19	8	0.81
pièce	3097	1108	5	3	0.72
s	3097	1108	5	3	0.72
même	3097	1108	5	3	0.72
littérature	3097	1108	5	3	0.72
exemple	3097	1108	5	3	0.72
a	3097	1108	18	6	0.72
čapek	3097	1108	8	4	0.71
également	3097	1108	8	4	0.71
comme	3097	1108	8	4	0.71
son	3097	1108	12	5	0.68
the	3097	1108	12	4	0.63
leur	3097	1108	6	3	0.61
homme	3097	1108	6	3	0.61
pierre	3097	1108	6	3	0.61
première	3097	1108	3	2	0.61
1920	3097	1108	3	2	0.61
josef	3097	1108	3	2	0.61
permet	3097	1108	3	2	0.61
aspirateur	3097	1108	3	2	0.61
trois	3097	1108	3	2	0.61
suite	3097	1108	3	2	0.61
sophia	3097	1108	3	2	0.61
tels	3097	1108	3	2	0.61
d’un	3097	1108	3	2	0.61
donné	3097	1108	3	2	0.61
encore	3097	1108	3	2	0.61
toujours	3097	1108	3	2	0.61
1967	3097	1108	3	2	0.61
1982	3097	1108	3	2	0.61
plusieurs	3097	1108	3	2	0.61
verdun	3097	1108	3	2	0.61
cuisine	3097	1108	3	2	0.61
thermomix	3097	1108	3	2	0.61
avec	3097	1108	9	3	0.57
on	3097	1108	7	3	0.56
article	3097	1108	7	3	0.56
ne	3097	1108	7	3	0.56
